Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,223
design__inferred_latch__count,0
design__instance__count,46344
design__instance__area,903587
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,423
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,31
power__internal__total,0.004943220876157284
power__switching__total,0.0015848546754568815
power__leakage__total,0.0000054452084441436455
power__total,0.006533520761877298
clock__skew__worst_hold__corner:nom_tt_025C_5v00,-7.755325490199562
clock__skew__worst_setup__corner:nom_tt_025C_5v00,-3.091806453926465
timing__hold__ws__corner:nom_tt_025C_5v00,0.5321283564402207
timing__setup__ws__corner:nom_tt_025C_5v00,88.20901592159782
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.532128
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,88.209015
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,401
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,0
design__max_cap_violation__count__corner:nom_ss_125C_4v50,32
clock__skew__worst_hold__corner:nom_ss_125C_4v50,-13.979574338259875
clock__skew__worst_setup__corner:nom_ss_125C_4v50,-5.5535728698788605
timing__hold__ws__corner:nom_ss_125C_4v50,1.0141932025705216
timing__setup__ws__corner:nom_ss_125C_4v50,78.66316531920745
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,1.014193
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,78.663162
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,386
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,0
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,25
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,-4.981212472379038
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,-1.9861290951826422
timing__hold__ws__corner:nom_ff_n40C_5v50,0.3165161555773332
timing__setup__ws__corner:nom_ff_n40C_5v50,92.48334981829534
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.316516
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,92.483353
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,581
design__max_fanout_violation__count,0
design__max_cap_violation__count,50
clock__skew__worst_hold,-4.81875797348321
clock__skew__worst_setup,-5.560598361377383
timing__hold__ws,0.2842384186249243
timing__setup__ws,77.35483583742294
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.284238
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,77.354836
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1000.0 1000.0
design__core__bbox,20.16 23.52 980.0 980.0
design__io,22
design__die__area,1E+6
design__core__area,918068
design__instance__count__stdcell,18017
design__instance__area__stdcell,418302
design__instance__count__macros,2
design__instance__area__macros,247784
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.72553
design__instance__utilization__stdcell,0.624067
design__rows,396
design__rows:GF018hv5v_mcu_sc7,396
design__sites,298744
design__sites:GF018hv5v_mcu_sc7,298744
design__instance__count__class:macro,2
design__instance__area__class:macro,247784
design__instance__count__class:tie_cell,2
design__instance__area__class:tie_cell,17.5616
design__instance__count__class:buffer,32
design__instance__area__class:buffer,421.478
design__instance__count__class:inverter,540
design__instance__area__class:inverter,4750.41
design__instance__count__class:sequential_cell,2334
design__instance__area__class:sequential_cell,152885
design__instance__count__class:multi_input_combinational_cell,9036
design__instance__area__class:multi_input_combinational_cell,184175
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,3
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,792
design__instance__area__class:endcap_cell,3477.2
design__instance__count__class:tap_cell,4226
design__instance__area__class:tap_cell,18553.8
flow__warnings__count:PDN-0110,4
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,20
design__io__hpwl,6148738
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,46676.2
design__instance__displacement__mean,2.591
design__instance__displacement__max,260.438
route__wirelength__estimated,717759
design__violations,0
design__instance__count__class:timing_repair_buffer,693
design__instance__area__class:timing_repair_buffer,35661
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,22
design__instance__count__class:clock_buffer,285
design__instance__area__class:clock_buffer,16543
design__instance__count__class:clock_inverter,71
design__instance__area__class:clock_inverter,1791.28
flow__warnings__count:CTS-0179,1001
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,303
global_route__vias,46887
global_route__wirelength,1182174
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,6
design__instance__count__class:antenna_cell,6
design__instance__area__class:antenna_cell,26.3424
route__net,12875
route__net__special,2
route__drc_errors__iter:0,4289
route__wirelength__iter:0,865465
route__drc_errors__iter:1,1384
route__wirelength__iter:1,861320
route__drc_errors__iter:2,1173
route__wirelength__iter:2,860355
route__drc_errors__iter:3,7
route__wirelength__iter:3,859307
route__drc_errors__iter:4,0
route__wirelength__iter:4,859305
route__drc_errors,0
route__wirelength,859305
route__vias,95583
route__vias__singlecut,95583
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
